名前,発動スキル1,発動スキル2,上限1,上限2,カテゴリ
匠,,,5,0,斬れ味
達人芸,,,1,0,斬れ味
鈍器使い,,,3,0,斬れ味
業物,,,3,0,斬れ味
雷耐性,,,3,0,防御・耐性
環境適応,,,2,0,防御・耐性
気絶耐性,,,3,0,防御・耐性
拘束耐性,,,3,0,防御・耐性
氷耐性,,,3,0,防御・耐性
睡眠耐性,,,3,0,防御・耐性
精霊の加護,,,3,0,防御・耐性
属性やられ耐性,,,3,0,防御・耐性
毒耐性,,,3,0,防御・耐性
爆破やられ耐性,,,3,0,防御・耐性
火耐性,,,3,0,防御・耐性
防御,,,7,0,防御・耐性
防御力ＤＯＷＮ耐性,,,3,0,防御・耐性
麻痺耐性,,,3,0,防御・耐性
水耐性,,,3,0,防御・耐性
龍耐性,,,3,0,防御・耐性
裂傷耐性,,,3,0,防御・耐性
オトモへの采配,,,5,0,戦闘（攻撃）
火事場力,,,5,0,戦闘（攻撃）
逆襲,,,3,0,戦闘（攻撃）
強化持続,,,3,0,戦闘（攻撃）
急襲,,,3,0,戦闘（攻撃）
ＫＯ術,,,3,0,戦闘（攻撃）
研鑽,,,1,0,戦闘（攻撃）
攻撃,,,5,0,戦闘（攻撃）
巧撃,,,5,0,戦闘（攻撃）
攻勢,,,5,0,戦闘（攻撃）
高速変形,,,3,0,戦闘（攻撃）
渾身,,,3,0,戦闘（攻撃）
災禍転福,,,3,0,戦闘（攻撃）
逆恨み,,,5,0,戦闘（攻撃）
鎖刃刺撃,,,5,0,戦闘（攻撃）
弱点特効,,,5,0,戦闘（攻撃）
集中,,,3,0,戦闘（攻撃）
スタミナ奪取,,,3,0,戦闘（攻撃）
攻めの守勢,,,3,0,戦闘（攻撃）
属性吸収,,,3,0,戦闘（攻撃）
属性変換,,,3,0,戦闘（攻撃）
溜打強化,,,1,0,戦闘（攻撃）
力の解放,,,5,0,戦闘（攻撃）
超会心,,,5,0,戦闘（攻撃）
挑戦者,,,5,0,戦闘（攻撃）
毒ダメージ強化,,,1,0,戦闘（攻撃）
破壊王,,,3,0,戦闘（攻撃）
抜刀術【力】,,,3,0,戦闘（攻撃）
抜刀術【技】,,,3,0,戦闘（攻撃）
飛燕,,,1,0,戦闘（攻撃）
笛吹き名人,,,2,0,戦闘（攻撃）
フルチャージ,,,5,0,戦闘（攻撃）
砲術,,,3,0,戦闘（攻撃）
見切り,,,5,0,戦闘（攻撃）
無我の境地,,,3,0,戦闘（攻撃）
連撃,,,5,0,戦闘（攻撃）
鱗重ねの工夫,奮起,,3,0,グループスキル
鱗張りの技法,乗り名人,,3,0,グループスキル
革細工の滑性,滑走強化,,3,0,グループスキル
革細工の柔性,採集の達人,,3,0,グループスキル
毛皮の昂揚,不屈,,3,0,グループスキル
毛皮の誘惑,陽動,,3,0,グループスキル
甲虫の擬態,忍び歩き,,3,0,グループスキル
甲虫の知らせ,ハニーハンター,,3,0,グループスキル
護竜の守り,竜都の護り,,3,0,グループスキル
護竜の脈動,竜乳活性,,3,0,グループスキル
先達の導き,探索者の幸運,,3,0,グループスキル
ヌシの憤激,死中に活,,3,0,グループスキル
ヌシの誇り,激励,,3,0,グループスキル
暗器蛸の力,蛮勇の食卓Ⅰ,蛮勇の食卓Ⅰ,2,4,シリーズスキル
火竜の力,灼熱化Ⅰ,灼熱化Ⅰ,2,4,シリーズスキル
兇爪竜の力,連撃強化Ⅰ,連撃強化Ⅰ,2,4,シリーズスキル
煌雷竜の力,雷々響鳴Ⅰ,雷々響鳴Ⅰ,2,4,シリーズスキル
獄焔蛸の反逆,恨撃Ⅰ,恨撃Ⅰ,2,4,シリーズスキル
黒蝕竜の力,黒蝕一体Ⅰ,黒蝕一体Ⅰ,2,4,シリーズスキル
鎖刃竜の飢餓,加速再生Ⅰ,加速再生Ⅰ,2,4,シリーズスキル
護鎖刃竜の命脈,破壊衝動Ⅰ,破壊衝動Ⅰ,2,4,シリーズスキル
凍峰竜の反逆,束縛反攻Ⅰ,束縛反攻Ⅰ,2,4,シリーズスキル
羽衣竜の守護,守護のヴェールⅠ,守護のヴェールⅠ,2,4,シリーズスキル
闢獣の力,力自慢Ⅰ,力自慢Ⅰ,2,4,シリーズスキル
雪獅子の闘志,ウォークライⅠ,ウォークライⅠ,2,4,シリーズスキル
鎧竜の守護,無傷の重装Ⅰ,無傷の重装Ⅰ,2,4,シリーズスキル
雷顎竜の闘志,無尽蔵Ⅰ,無尽蔵Ⅰ,2,4,シリーズスキル
