シリーズ名,名前,レア度,スロット1,スロット2,スロット3,入手時期,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5
,ゴアアームβ,7,2,2,0,0,60,76,-2,3,-1,2,-1,鱗重ねの工夫,1,黒蝕竜の力,1,回避性能,1,体術,1,,
,調査団アームα,6,1,0,0,0,44,70,2,2,0,0,0,挑戦者,1,納刀術,2,,,,,,
,デスギアファオストα,6,2,0,0,0,44,70,3,2,-2,3,4,先達の導き,1,逆恨み,1,急襲,1,,,,
,パピメルマーノα,6,2,0,0,0,44,70,-1,-1,2,0,2,先達の導き,1,体術,1,回避性能,1,回復速度,2,,
,オウビートマーノα,6,2,0,0,0,44,70,-1,-1,2,0,2,先達の導き,1,火事場力,1,攻勢,1,毒耐性,1,,
,ハイメタアームα,6,2,0,0,0,44,70,0,-1,-2,3,0,先達の導き,1,爆破やられ耐性,3,破壊王,1,,,,
,バトルアームα,6,2,0,0,0,44,70,2,-1,-1,0,0,先達の導き,1,満足感,3,,,,,,
,メルホアラーマα,6,2,0,0,0,44,70,0,1,3,0,0,先達の導き,1,回復速度,3,麻痺耐性,2,,,,
,アーティアアームα,6,2,0,0,0,44,70,1,-2,-2,2,3,護竜の守り,1,鎖刃刺撃,1,属性やられ耐性,2,,,,
,ギルドエースアームα,8,3,0,0,0,60,74,2,2,2,2,2,フルチャージ,1,攻勢,1,体術,1,,,,
,シュバルカアームα,8,2,2,0,0,66,80,2,0,-1,0,-3,毛皮の昂揚,1,鎖刃竜の飢餓,1,属性変換,1,回復速度,1,,
,シュバルカアームβ,8,2,2,1,0,66,80,2,0,-1,0,-3,毛皮の誘惑,1,鎖刃竜の飢餓,1,属性変換,1,,,,
,護鎖刃竜アームα,8,1,0,0,0,66,80,2,0,-1,0,-4,護竜の脈動,1,護鎖刃竜の命脈,1,弱点特効,2,属性やられ耐性,1,,
,護鎖刃竜アームβ,8,1,1,1,0,66,80,2,0,-1,0,-4,護竜の守り,1,護鎖刃竜の命脈,1,弱点特効,2,,,,
,ギルドクロスアームα,5,2,0,0,0,36,70,0,0,0,0,0,ひるみ軽減,2,耐震,1,拘束耐性,1,栄光の誉れ,1,,
,クリークアームα,6,2,1,0,0,48,74,2,2,2,2,2,整備,2,環境利用の知識,1,オトモへの采配,1,栄光の誉れ,1,,
,ミツネアームα,6,1,0,0,0,48,74,0,2,-3,1,-1,回避距離ＵＰ,2,回避性能,2,毛皮の昂揚,1,泡狐竜の力,1,,
,ミツネアームβ,6,3,0,0,0,48,74,0,2,-3,1,-1,回避距離ＵＰ,1,回避性能,2,毛皮の誘惑,1,泡狐竜の力,1,,
,無垢ナル龍甲α,8,2,0,0,0,68,82,-2,2,2,0,-4,属性吸収,2,災禍転福,1,護竜の脈動,1,白熾龍の脈動,1,,
,無垢ナル龍甲β,8,3,1,0,0,68,82,-2,2,2,0,-4,属性吸収,2,護竜の守り,1,白熾龍の脈動,1,,,,
,ラギアアームα,7,2,0,0,0,64,80,-3,2,4,-1,-2,スタミナ急速回復,2,弱点特効,1,水場・油泥適応,1,革細工の柔性,1,海竜の渦雷,1
,ラギアアームβ,7,3,0,0,0,64,80,-3,2,4,-1,-2,スタミナ急速回復,2,弱点特効,1,革細工の滑性,1,海竜の渦雷,1,,
,レギオスアームα,7,2,0,0,0,64,80,4,0,-3,-2,0,巧撃,2,回避距離ＵＰ,1,鱗張りの技法,1,千刃竜の闘志,1,,
,レギオスアームβ,7,3,1,0,0,64,80,4,0,-3,-2,0,巧撃,2,鱗重ねの工夫,1,千刃竜の闘志,1,,,,
,レダゼルトアームγ,8,3,3,0,0,68,82,0,-2,4,-3,0,回避距離ＵＰ,2,ヌシの魂,1,煌雷竜の力,1,,,,
,トゥナムルアームγ,8,2,0,0,0,68,82,-1,4,-3,0,0,整備,3,挑戦者,1,ヌシの魂,1,波衣竜の守護,1,,
,桜波【籠手】α,5,2,1,0,0,36,70,2,2,-3,2,2,攻勢,1,アイテム使用強化,1,祝祭の巡り,1,花舞の祈り,1,,
,ブロッサムカフスα,5,1,1,1,0,36,70,1,1,4,1,1,毒耐性,2,祝祭の巡り,1,,,,,,
,アーフィアームα,5,1,0,0,0,36,70,2,-3,2,2,2,連撃,2,祝祭の巡り,1,踊火の祈り,1,,,,
,ダイバーアームα,5,2,0,0,0,36,70,1,4,1,1,1,急襲,1,ランナー,2,祝祭の巡り,1,,,,
,にくきゅうミトンα,7,1,0,0,0,60,76,2,2,2,2,2,アイテム使用強化,3,ボマー,3,,,,,,
