名前,レア度,スロットサイズ,スロットタイプ,入手時期,スキル系統1,スキル値1,スキル系統2,スキル値2
耐毒珠【１】,5,1,2,13,毒耐性,1,,
耐麻珠【１】,5,1,2,13,麻痺耐性,1,,
耐眠珠【１】,5,1,2,13,睡眠耐性,1,,
耐絶珠【１】,6,1,2,13,気絶耐性,1,,
耐爆珠【１】,5,1,2,13,爆破やられ耐性,1,,
耐裂珠【１】,5,1,2,13,裂傷耐性,1,,
耐防珠【１】,5,1,2,13,防御力ＤＯＷＮ耐性,1,,
攻撃珠【１】,7,1,2,13,攻撃,1,,
防御珠【１】,6,1,2,11,防御,1,,
体力珠【１】,6,1,2,13,体力増強,1,,
早復珠【１】,6,1,2,13,回復速度,1,,
耐火珠【１】,5,1,2,11,火耐性,1,,
耐水珠【１】,5,1,2,11,水耐性,1,,
耐氷珠【１】,5,1,2,13,氷耐性,1,,
耐雷珠【１】,5,1,2,13,雷耐性,1,,
耐龍珠【１】,5,1,2,13,龍耐性,1,,
耐属珠【１】,6,1,2,13,属性やられ耐性,1,,
火炎珠【１】,6,1,2,11,火属性攻撃強化,1,,
流水珠【１】,6,1,2,11,水属性攻撃強化,1,,
氷結珠【１】,6,1,2,13,氷属性攻撃強化,1,,
雷光珠【１】,6,1,2,13,雷属性攻撃強化,1,,
破龍珠【１】,6,1,2,13,龍属性攻撃強化,1,,
毒珠【１】,6,1,2,13,毒属性強化,1,,
麻痺珠【１】,7,1,2,13,麻痺属性強化,1,,
睡眠珠【１】,7,1,2,13,睡眠属性強化,1,,
爆破珠【１】,7,1,2,13,爆破属性強化,1,,
達人珠【１】,6,1,2,13,見切り,1,,
奪気珠【１】,6,1,2,13,スタミナ奪取,1,,
逆境珠【１】,5,1,2,13,不屈,1,,
鼓笛珠【１】,5,1,2,13,笛吹き名人,1,,
特射珠【１】,7,1,2,13,特殊射撃強化,1,,
砲術珠【１】,8,1,2,13,砲術,1,,
砲手珠【１】,5,1,2,13,砲撃手,1,,
無食珠【１】,5,1,2,13,腹減り耐性,1,,
鉄壁珠【１】,7,1,2,13,ガード性能,1,,
速納珠【１】,6,1,2,13,納刀術,1,,
友愛珠【１】,6,1,2,13,広域化,1,,
持続珠【１】,6,1,2,13,アイテム使用強化,1,,
節食珠【１】,5,1,2,13,満足感,1,,
早食珠【１】,6,1,2,13,早食い,1,,
研磨珠【１】,6,1,2,13,砥石使用高速化,1,,
爆師珠【１】,6,1,2,13,ボマー,1,,
茸好珠【１】,8,1,2,13,キノコ大好き,1,,
加護珠【１】,5,1,2,13,精霊の加護,1,,
采配珠【１】,5,1,2,13,オトモへの采配,1,,
植学珠【１】,5,1,2,13,植生学,1,,
地学珠【１】,5,1,2,13,地質学,1,,
投石珠【１】,6,1,2,13,スリンガー装填数ＵＰ,1,,
潜伏珠【１】,5,1,2,13,潜伏,1,,
環境珠【１】,5,1,2,13,環境利用の知識,1,,
沼渡珠【１】,5,1,2,13,水場・深雪適応,1,,
標本珠【１】,5,1,2,13,昆虫標本の達人,1,,
嗅覚珠【１】,5,1,2,13,追跡の達人,1,,
威嚇珠【１】,5,1,2,13,威嚇,1,,
治癒珠【１】,6,1,2,13,体力回復量ＵＰ,1,,
窮地珠【１】,5,1,2,13,死中に活,1,,
整備珠【１】,5,1,2,13,整備,1,,
耐瘴珠【１】,5,1,2,13,瘴気耐性,1,,
耐暑珠【２】,9,2,2,,熱ダメージ無効,1,,
守勢珠【２】,10,2,2,,攻めの守勢,1,,
耐寒珠【２】,9,2,2,,寒さ耐性,1,,
転福珠【３】,11,3,2,,災禍転福,1,,
陽動珠【３】,11,3,2,,陽動攻撃,1,,
受身珠【３】,11,3,2,,受け身術,1,,
削撃珠【３】,11,3,2,,クラッチ攻撃強化,1,,
耐火珠Ⅱ【４】,9,4,2,,火耐性,2,,
耐水珠Ⅱ【４】,9,4,2,,水耐性,2,,
耐氷珠Ⅱ【４】,9,4,2,,氷耐性,2,,
耐雷珠Ⅱ【４】,9,4,2,,雷耐性,2,,
耐龍珠Ⅱ【４】,9,4,2,,龍耐性,2,,
火炎珠Ⅱ【４】,11,4,2,,火属性攻撃強化,2,,
流水珠Ⅱ【４】,11,4,2,,水属性攻撃強化,2,,
氷結珠Ⅱ【４】,11,4,2,,氷属性攻撃強化,2,,
雷光珠Ⅱ【４】,11,4,2,,雷属性攻撃強化,2,,
破龍珠Ⅱ【４】,11,4,2,,龍属性攻撃強化,2,,
毒珠Ⅱ【４】,11,4,2,,毒属性強化,2,,
麻痺珠Ⅱ【４】,11,4,2,,麻痺属性強化,2,,
睡眠珠Ⅱ【４】,11,4,2,,睡眠属性強化,2,,
爆破珠Ⅱ【４】,11,4,2,,爆破属性強化,2,,
耐火珠Ⅲ【４】,11,4,2,,火耐性,3,,
耐水珠Ⅲ【４】,11,4,2,,水耐性,3,,
耐氷珠Ⅲ【４】,11,4,2,,氷耐性,3,,
耐雷珠Ⅲ【４】,11,4,2,,雷耐性,3,,
耐龍珠Ⅲ【４】,11,4,2,,龍耐性,3,,
耐毒珠Ⅱ【４】,9,4,2,,毒耐性,2,,
耐麻珠Ⅱ【４】,9,4,2,,麻痺耐性,2,,
耐眠珠Ⅱ【４】,9,4,2,,睡眠耐性,2,,
耐絶珠Ⅱ【４】,9,4,2,,気絶耐性,2,,
耐爆珠Ⅱ【４】,9,4,2,,爆破やられ耐性,2,,
耐裂珠Ⅱ【４】,9,4,2,,裂傷耐性,2,,
耐防珠Ⅱ【４】,9,4,2,,防御力ＤＯＷＮ耐性,2,,
耐瘴珠Ⅱ【４】,9,4,2,,瘴気耐性,2,,
無食珠Ⅱ【４】,9,4,2,,腹減り耐性,2,,
早復珠Ⅱ【４】,9,4,2,,回復速度,2,,
潜伏珠Ⅱ【４】,9,4,2,,潜伏,2,,
威嚇珠Ⅱ【４】,9,4,2,,威嚇,2,,
采配珠Ⅱ【４】,9,4,2,,オトモへの采配,2,,
潜伏珠Ⅲ【４】,9,4,2,,潜伏,3,,
威嚇珠Ⅲ【４】,9,4,2,,威嚇,3,,
采配珠Ⅲ【４】,9,4,2,,オトモへの采配,3,,
特射珠Ⅱ【４】,12,4,2,,特殊射撃強化,2,,
砲手珠Ⅱ【４】,9,4,2,,砲撃手,2,,
植学珠Ⅱ【４】,9,4,2,,植生学,2,,
地学珠Ⅱ【４】,9,4,2,,地質学,2,,
環境珠Ⅱ【４】,9,4,2,,環境利用の知識,2,,
沼渡珠Ⅱ【４】,9,4,2,,水場・深雪適応,2,,
標本珠Ⅱ【４】,9,4,2,,昆虫標本の達人,2,,
鼓笛珠Ⅱ【４】,9,4,2,,笛吹き名人,2,,
植学珠Ⅳ【４】,11,4,2,,植生学,4,,
地学珠Ⅲ【４】,11,4,2,,地質学,3,,
環境珠Ⅲ【４】,11,4,2,,環境利用の知識,3,,
標本珠Ⅲ【４】,11,4,2,,昆虫標本の達人,3,,
持続珠Ⅱ【４】,9,4,2,,アイテム使用強化,2,,
防御珠Ⅱ【４】,9,4,2,,防御,2,,
持続珠Ⅲ【４】,11,4,2,,アイテム使用強化,3,,
防御珠Ⅲ【４】,10,4,2,,防御,3,,
砲術珠Ⅱ【４】,12,4,2,,砲術,2,,
防音珠Ⅱ【４】,12,4,2,,耳栓,2,,
防風珠Ⅱ【４】,12,4,2,,風圧耐性,2,,
攻撃珠Ⅱ【４】,12,4,2,,攻撃,2,,
達人珠Ⅱ【４】,12,4,2,,見切り,2,,
匠珠Ⅱ【４】,12,4,2,,匠,2,,
全開珠Ⅱ【４】,11,4,2,,力の解放,2,,
挑戦珠Ⅱ【４】,11,4,2,,挑戦者,2,,
底力珠Ⅱ【４】,11,4,2,,火事場力,2,,
逆上珠Ⅱ【４】,11,4,2,,逆恨み,2,,
体術珠Ⅱ【４】,10,4,2,,体術,2,,
回避珠Ⅱ【４】,11,4,2,,回避性能,2,,
鉄壁珠Ⅱ【４】,10,4,2,,ガード性能,2,,
友愛珠Ⅱ【４】,10,4,2,,広域化,2,,
奪気・体術珠【４】,10,4,2,,スタミナ奪取,1,体術,1
逆境・体術珠【４】,9,4,2,,不屈,1,体術,1
窮地・体術珠【４】,9,4,2,,死中に活,1,体術,1
鉄壁・体術珠【４】,10,4,2,,ガード性能,1,体術,1
友愛・体術珠【４】,10,4,2,,広域化,1,体術,1
節食・体術珠【４】,9,4,2,,満足感,1,体術,1
投石・体術珠【４】,9,4,2,,スリンガー装填数ＵＰ,1,体術,1
耐属・体術珠【４】,10,4,2,,属性やられ耐性,1,体術,1
飛燕・体術珠【４】,10,4,2,,飛燕,1,体術,1
強走・体術珠【４】,10,4,2,,ランナー,1,体術,1
早気・体術珠【４】,10,4,2,,スタミナ急速回復,1,体術,1
跳躍・体術珠【４】,10,4,2,,回避距離ＵＰ,1,体術,1
速納・体術珠【４】,10,4,2,,納刀術,1,体術,1
早食・体術珠【４】,10,4,2,,早食い,1,体術,1
研磨・体術珠【４】,10,4,2,,砥石使用高速化,1,体術,1
爆師・体術珠【４】,10,4,2,,ボマー,1,体術,1
茸好・体術珠【４】,10,4,2,,キノコ大好き,1,体術,1
滑走・体術珠【４】,9,4,2,,滑走強化,1,体術,1
守勢・体術珠【４】,9,4,2,,攻めの守勢,1,体術,1
奪気・回避珠【４】,10,4,2,,スタミナ奪取,1,回避性能,1
逆境・回避珠【４】,9,4,2,,不屈,1,回避性能,1
窮地・回避珠【４】,9,4,2,,死中に活,1,回避性能,1
鉄壁・回避珠【４】,10,4,2,,ガード性能,1,回避性能,1
友愛・回避珠【４】,10,4,2,,広域化,1,回避性能,1
節食・回避珠【４】,9,4,2,,満足感,1,回避性能,1
投石・回避珠【４】,9,4,2,,スリンガー装填数ＵＰ,1,回避性能,1
耐属・回避珠【４】,10,4,2,,属性やられ耐性,1,回避性能,1
飛燕・回避珠【４】,10,4,2,,飛燕,1,回避性能,1
強走・回避珠【４】,10,4,2,,ランナー,1,回避性能,1
早気・回避珠【４】,10,4,2,,スタミナ急速回復,1,回避性能,1
跳躍・回避珠【４】,10,4,2,,回避距離ＵＰ,1,回避性能,1
速納・回避珠【４】,10,4,2,,納刀術,1,回避性能,1
早食・回避珠【４】,10,4,2,,早食い,1,回避性能,1
研磨・回避珠【４】,10,4,2,,砥石使用高速化,1,回避性能,1
爆師・回避珠【４】,10,4,2,,ボマー,1,回避性能,1
茸好・回避珠【４】,10,4,2,,キノコ大好き,1,回避性能,1
滑走・回避珠【４】,9,4,2,,滑走強化,1,回避性能,1
守勢・回避珠【４】,9,4,2,,攻めの守勢,1,回避性能,1
奪気・攻撃珠【４】,10,4,2,,スタミナ奪取,1,攻撃,1
逆境・攻撃珠【４】,9,4,2,,不屈,1,攻撃,1
窮地・攻撃珠【４】,9,4,2,,死中に活,1,攻撃,1
鉄壁・攻撃珠【４】,10,4,2,,ガード性能,1,攻撃,1
友愛・攻撃珠【４】,10,4,2,,広域化,1,攻撃,1
節食・攻撃珠【４】,9,4,2,,満足感,1,攻撃,1
投石・攻撃珠【４】,9,4,2,,スリンガー装填数ＵＰ,1,攻撃,1
耐属・攻撃珠【４】,10,4,2,,属性やられ耐性,1,攻撃,1
飛燕・攻撃珠【４】,10,4,2,,飛燕,1,攻撃,1
強走・攻撃珠【４】,10,4,2,,ランナー,1,攻撃,1
早気・攻撃珠【４】,10,4,2,,スタミナ急速回復,1,攻撃,1
跳躍・攻撃珠【４】,10,4,2,,回避距離ＵＰ,1,攻撃,1
速納・攻撃珠【４】,10,4,2,,納刀術,1,攻撃,1
早食・攻撃珠【４】,10,4,2,,早食い,1,攻撃,1
研磨・攻撃珠【４】,10,4,2,,砥石使用高速化,1,攻撃,1
爆師・攻撃珠【４】,10,4,2,,ボマー,1,攻撃,1
茸好・攻撃珠【４】,10,4,2,,キノコ大好き,1,攻撃,1
滑走・攻撃珠【４】,9,4,2,,滑走強化,1,攻撃,1
守勢・攻撃珠【４】,9,4,2,,攻めの守勢,1,攻撃,1
奪気・達人珠【４】,10,4,2,,スタミナ奪取,1,見切り,1
逆境・達人珠【４】,9,4,2,,不屈,1,見切り,1
窮地・達人珠【４】,9,4,2,,死中に活,1,見切り,1
鉄壁・達人珠【４】,10,4,2,,ガード性能,1,見切り,1
友愛・達人珠【４】,10,4,2,,広域化,1,見切り,1
節食・達人珠【４】,9,4,2,,満足感,1,見切り,1
投石・達人珠【４】,9,4,2,,スリンガー装填数ＵＰ,1,見切り,1
耐属・達人珠【４】,10,4,2,,属性やられ耐性,1,見切り,1
飛燕・達人珠【４】,10,4,2,,飛燕,1,見切り,1
強走・達人珠【４】,10,4,2,,ランナー,1,見切り,1
早気・達人珠【４】,10,4,2,,スタミナ急速回復,1,見切り,1
跳躍・達人珠【４】,10,4,2,,回避距離ＵＰ,1,見切り,1
速納・達人珠【４】,10,4,2,,納刀術,1,見切り,1
早食・達人珠【４】,10,4,2,,早食い,1,見切り,1
研磨・達人珠【４】,10,4,2,,砥石使用高速化,1,見切り,1
爆師・達人珠【４】,10,4,2,,ボマー,1,見切り,1
茸好・達人珠【４】,10,4,2,,キノコ大好き,1,見切り,1
滑走・達人珠【４】,9,4,2,,滑走強化,1,見切り,1
守勢・達人珠【４】,9,4,2,,攻めの守勢,1,見切り,1
奪気・解放珠【４】,11,4,2,,スタミナ奪取,1,属性解放／装填拡張,1
逆境・解放珠【４】,10,4,2,,不屈,1,属性解放／装填拡張,1
窮地・解放珠【４】,10,4,2,,死中に活,1,属性解放／装填拡張,1
鉄壁・解放珠【４】,11,4,2,,ガード性能,1,属性解放／装填拡張,1
友愛・解放珠【４】,11,4,2,,広域化,1,属性解放／装填拡張,1
節食・解放珠【４】,10,4,2,,満足感,1,属性解放／装填拡張,1
投石・解放珠【４】,10,4,2,,スリンガー装填数ＵＰ,1,属性解放／装填拡張,1
耐属・解放珠【４】,11,4,2,,属性やられ耐性,1,属性解放／装填拡張,1
飛燕・解放珠【４】,11,4,2,,飛燕,1,属性解放／装填拡張,1
強走・解放珠【４】,11,4,2,,ランナー,1,属性解放／装填拡張,1
早気・解放珠【４】,11,4,2,,スタミナ急速回復,1,属性解放／装填拡張,1
跳躍・解放珠【４】,11,4,2,,回避距離ＵＰ,1,属性解放／装填拡張,1
速納・解放珠【４】,11,4,2,,納刀術,1,属性解放／装填拡張,1
早食・解放珠【４】,11,4,2,,早食い,1,属性解放／装填拡張,1
研磨・解放珠【４】,11,4,2,,砥石使用高速化,1,属性解放／装填拡張,1
爆師・解放珠【４】,11,4,2,,ボマー,1,属性解放／装填拡張,1
茸好・解放珠【４】,11,4,2,,キノコ大好き,1,属性解放／装填拡張,1
滑走・解放珠【４】,10,4,2,,滑走強化,1,属性解放／装填拡張,1
守勢・解放珠【４】,10,4,2,,攻めの守勢,1,属性解放／装填拡張,1
奪気・匠珠【４】,11,4,2,,スタミナ奪取,1,匠,1
逆境・匠珠【４】,10,4,2,,不屈,1,匠,1
窮地・匠珠【４】,10,4,2,,死中に活,1,匠,1
鉄壁・匠珠【４】,11,4,2,,ガード性能,1,匠,1
友愛・匠珠【４】,11,4,2,,広域化,1,匠,1
節食・匠珠【４】,10,4,2,,満足感,1,匠,1
投石・匠珠【４】,10,4,2,,スリンガー装填数ＵＰ,1,匠,1
耐属・匠珠【４】,11,4,2,,属性やられ耐性,1,匠,1
飛燕・匠珠【４】,11,4,2,,飛燕,1,匠,1
強走・匠珠【４】,11,4,2,,ランナー,1,匠,1
早気・匠珠【４】,11,4,2,,スタミナ急速回復,1,匠,1
跳躍・匠珠【４】,11,4,2,,回避距離ＵＰ,1,匠,1
速納・匠珠【４】,11,4,2,,納刀術,1,匠,1
早食・匠珠【４】,11,4,2,,早食い,1,匠,1
研磨・匠珠【４】,11,4,2,,砥石使用高速化,1,匠,1
爆師・匠珠【４】,11,4,2,,ボマー,1,匠,1
茸好・匠珠【４】,11,4,2,,キノコ大好き,1,匠,1
滑走・匠珠【４】,10,4,2,,滑走強化,1,匠,1
守勢・匠珠【４】,10,4,2,,攻めの守勢,1,匠,1
耐震・加護珠【４】,10,4,2,,耐震,1,精霊の加護,1
短縮・加護珠【４】,10,4,2,,集中,1,精霊の加護,11
昂揚・加護珠【４】,10,4,2,,強化持続,1,精霊の加護,1
重撃・加護珠【４】,10,4,2,,破壊王,1,精霊の加護,1
ＫＯ・加護珠【４】,10,4,2,,ＫＯ術,1,精霊の加護,1
底力・加護珠【４】,10,4,2,,火事場力,1,精霊の加護,1
防風・加護珠【４】,10,4,2,,風圧耐性,1,精霊の加護,1
抜刀・加護珠【４】,10,4,2,,抜刀術【技】,1,精霊の加護,1
全開・加護珠【４】,10,4,2,,力の解放,1,精霊の加護,1
挑戦・加護珠【４】,10,4,2,,挑戦者,1,精霊の加護,1
無傷・加護珠【４】,10,4,2,,フルチャージ,1,精霊の加護,1
逆上・加護珠【４】,10,4,2,,逆恨み,1,精霊の加護,1
渾身・加護珠【４】,10,4,2,,渾身,1,精霊の加護,1
耐衝・加護珠【４】,10,4,2,,ひるみ軽減,1,精霊の加護,1
転福・加護珠【４】,11,4,2,,災禍転福,1,精霊の加護,1
防音・加護珠【４】,11,4,2,,耳栓,1,精霊の加護,1
超心・加護珠【４】,11,4,2,,超会心,1,精霊の加護,1
痛撃・加護珠【４】,11,4,2,,弱点特効,1,精霊の加護,1
匠・加護珠【４】,11,4,2,,匠,1,精霊の加護,1
解放・加護珠【４】,10,4,2,,属性解放／装填拡張,1,精霊の加護,1
耐震・治癒珠【４】,10,4,2,,耐震,1,体力回復量ＵＰ,1
短縮・治癒珠【４】,10,4,2,,集中,1,体力回復量ＵＰ,1
昂揚・治癒珠【４】,10,4,2,,強化持続,1,体力回復量ＵＰ,1
重撃・治癒珠【４】,10,4,2,,破壊王,1,体力回復量ＵＰ,1
ＫＯ・治癒珠【４】,10,4,2,,ＫＯ術,1,体力回復量ＵＰ,1
底力・治癒珠【４】,10,4,2,,火事場力,1,体力回復量ＵＰ,1
防風・治癒珠【４】,10,4,2,,風圧耐性,1,体力回復量ＵＰ,1
抜刀・治癒珠【４】,10,4,2,,抜刀術【技】,1,体力回復量ＵＰ,1
全開・治癒珠【４】,10,4,2,,力の解放,1,体力回復量ＵＰ,1
挑戦・治癒珠【４】,10,4,2,,挑戦者,1,体力回復量ＵＰ,1
無傷・治癒珠【４】,10,4,2,,フルチャージ,1,体力回復量ＵＰ,1
逆上・治癒珠【４】,10,4,2,,逆恨み,1,体力回復量ＵＰ,1
渾身・治癒珠【４】,10,4,2,,渾身,1,体力回復量ＵＰ,1
耐衝・治癒珠【４】,10,4,2,,ひるみ軽減,1,体力回復量ＵＰ,1
転福・治癒珠【４】,11,4,2,,災禍転福,1,体力回復量ＵＰ,1
防音・治癒珠【４】,11,4,2,,耳栓,1,体力回復量ＵＰ,1
超心・治癒珠【４】,11,4,2,,超会心,1,体力回復量ＵＰ,1
痛撃・治癒珠【４】,11,4,2,,弱点特効,1,体力回復量ＵＰ,1
匠・治癒珠【４】,11,4,2,,匠,1,体力回復量ＵＰ,1
解放・治癒珠【４】,11,4,2,,属性解放／装填拡張,1,体力回復量ＵＰ,1
耐震・体力珠【４】,10,4,2,,耐震,1,体力増強,1
短縮・体力珠【４】,10,4,2,,集中,1,体力増強,1
昂揚・体力珠【４】,10,4,2,,強化持続,1,体力増強,1
重撃・体力珠【４】,10,4,2,,破壊王,1,体力増強,1
ＫＯ・体力珠【４】,10,4,2,,ＫＯ術,1,体力増強,1
底力・体力珠【４】,10,4,2,,火事場力,1,体力増強,1
防風・体力珠【４】,10,4,2,,風圧耐性,1,体力増強,1
抜刀・体力珠【４】,10,4,2,,抜刀術【技】,1,体力増強,1
全開・体力珠【４】,10,4,2,,力の解放,1,体力増強,1
挑戦・体力珠【４】,10,4,2,,挑戦者,1,体力増強,1
無傷・体力珠【４】,10,4,2,,フルチャージ,1,体力増強,1
逆上・体力珠【４】,10,4,2,,逆恨み,1,体力増強,1
渾身・体力珠【４】,10,4,2,,渾身,1,体力増強,1
耐衝・体力珠【４】,10,4,2,,ひるみ軽減,1,体力増強,1
転福・体力珠【４】,11,4,2,,災禍転福,1,体力増強,1
防音・体力珠【４】,11,4,2,,耳栓,1,体力増強,1
超心・体力珠【４】,11,4,2,,超会心,1,体力増強,1
痛撃・体力珠【４】,11,4,2,,弱点特効,1,体力増強,1
匠・体力珠【４】,11,4,2,,匠,1,体力増強,1
解放・体力珠【４】,11,4,2,,属性解放／装填拡張,1,体力増強,1
耐震・整備珠【４】,10,4,2,,耐震,1,整備,1
短縮・整備珠【４】,10,4,2,,集中,1,整備,1
昂揚・整備珠【４】,10,4,2,,強化持続,1,整備,1
重撃・整備珠【４】,10,4,2,,破壊王,1,整備,1
ＫＯ・整備珠【４】,10,4,2,,ＫＯ術,1,整備,1
底力・整備珠【４】,10,4,2,,火事場力,1,整備,1
防風・整備珠【４】,10,4,2,,風圧耐性,1,整備,1
抜刀・整備珠【４】,10,4,2,,抜刀術【技】,1,整備,1
全開・整備珠【４】,10,4,2,,力の解放,1,整備,1
挑戦・整備珠【４】,10,4,2,,挑戦者,1,整備,1
無傷・整備珠【４】,10,4,2,,フルチャージ,1,整備,1
逆上・整備珠【４】,10,4,2,,逆恨み,1,整備,1
渾身・整備珠【４】,10,4,2,,渾身,1,整備,1
耐衝・整備珠【４】,10,4,2,,ひるみ軽減,1,整備,1
転福・整備珠【４】,11,4,2,,災禍転福,1,整備,1
防音・整備珠【４】,11,4,2,,耳栓,1,整備,1
超心・整備珠【４】,11,4,2,,超会心,1,整備,1
痛撃・整備珠【４】,11,4,2,,弱点特効,1,整備,1
匠・整備珠【４】,11,4,2,,匠,1,整備,1
解放・整備珠【４】,11,4,2,,属性解放／装填拡張,1,整備,1
耐震・体術珠【４】,11,4,2,,耐震,1,体術,1
短縮・体術珠【４】,11,4,2,,集中,1,体術,1
昂揚・体術珠【４】,11,4,2,,強化持続,1,体術,1
重撃・体術珠【４】,11,4,2,,破壊王,1,体術,1
ＫＯ・体術珠【４】,11,4,2,,ＫＯ術,1,体術,1
底力・体術珠【４】,11,4,2,,火事場力,1,体術,1
防風・体術珠【４】,11,4,2,,風圧耐性,1,体術,1
抜刀・体術珠【４】,11,4,2,,抜刀術【技】,1,体術,1
全開・体術珠【４】,11,4,2,,力の解放,1,体術,1
挑戦・体術珠【４】,11,4,2,,挑戦者,1,体術,1
無傷・体術珠【４】,11,4,2,,フルチャージ,1,体術,1
逆上・体術珠【４】,11,4,2,,逆恨み,1,体術,1
渾身・体術珠【４】,11,4,2,,渾身,1,体術,1
耐衝・体術珠【４】,11,4,2,,ひるみ軽減,1,体術,1
転福・体術珠【４】,12,4,2,,災禍転福,1,体術,1
防音・体術珠【４】,12,4,2,,耳栓,1,体術,1
超心・体術珠【４】,12,4,2,,超会心,1,体術,1
痛撃・体術珠【４】,12,4,2,,弱点特効,1,体術,1
匠・体術珠【４】,12,4,2,,匠,1,体術,1
解放・体術珠【４】,12,4,2,,属性解放／装填拡張,1,体術,1
耐震・回避珠【４】,11,4,2,,耐震,1,回避性能,1
短縮・回避珠【４】,11,4,2,,集中,1,回避性能,1
昂揚・回避珠【４】,11,4,2,,強化持続,1,回避性能,1
重撃・回避珠【４】,11,4,2,,破壊王,1,回避性能,1
ＫＯ・回避珠【４】,11,4,2,,ＫＯ術,1,回避性能,1
底力・回避珠【４】,11,4,2,,火事場力,1,回避性能,1
防風・回避珠【４】,11,4,2,,風圧耐性,1,回避性能,1
抜刀・回避珠【４】,11,4,2,,抜刀術【技】,1,回避性能,1
全開・回避珠【４】,11,4,2,,力の解放,1,回避性能,1
挑戦・回避珠【４】,11,4,2,,挑戦者,1,回避性能,1
無傷・回避珠【４】,11,4,2,,フルチャージ,1,回避性能,1
逆上・回避珠【４】,11,4,2,,逆恨み,1,回避性能,1
渾身・回避珠【４】,11,4,2,,渾身,1,回避性能,1
耐衝・回避珠【４】,11,4,2,,ひるみ軽減,1,回避性能,1
転福・回避珠【４】,12,4,2,,災禍転福,1,回避性能,1
防音・回避珠【４】,12,4,2,,耳栓,1,回避性能,1
超心・回避珠【４】,12,4,2,,超会心,1,回避性能,1
痛撃・回避珠【４】,12,4,2,,弱点特効,1,回避性能,1
匠・回避珠【４】,12,4,2,,匠,1,回避性能,1
解放・回避珠【４】,12,4,2,,属性解放／装填拡張,1,回避性能,1
