シリーズ名,名前,レア度,スロット1,スロット2,スロット3,入手時期,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5
,ゴアアームα,7,2,1,0,0,60,60,-2,3,-1,2,-1,鱗張りの技法,1,黒蝕竜の力,1,回避性能,1,体術,2,,
,ゴアアームβ,7,2,2,0,0,60,60,-2,3,-1,2,-1,鱗重ねの工夫,1,黒蝕竜の力,1,回避性能,1,体術,1,,
,調査団アームα,7,1,0,0,0,44,44,2,2,0,0,0,挑戦者,1,納刀術,2,,,,,,
,デスギアファオストα,7,2,0,0,0,44,44,3,2,-2,3,4,先達の導き,1,逆恨み,1,急襲,1,,,,
,パピメルマーノα,7,2,0,0,0,44,44,-1,-1,2,0,2,先達の導き,1,体術,1,回避性能,1,回復速度,2,,
,オウビートマーノα,7,2,0,0,0,44,44,-1,-1,2,0,2,先達の導き,1,火事場力,1,攻勢,1,毒耐性,1,,
,ハイメタアームα,7,2,0,0,0,44,44,0,-1,-2,3,0,先達の導き,1,爆破やられ耐性,3,破壊王,1,,,,
,バトルアームα,7,2,0,0,0,44,44,2,-1,-1,0,0,先達の導き,1,満足感,3,,,,,,
,メルホアラーマα,7,2,0,0,0,44,44,0,1,3,0,0,先達の導き,1,回復速度,3,麻痺耐性,2,,,,
,アーティアアームα,7,2,0,0,0,44,44,1,-2,-2,2,3,護竜の守り,1,鎖刃刺撃,1,属性やられ耐性,2,,,,
,ギルドエースアームα,7,3,0,0,0,60,60,2,2,2,2,2,フルチャージ,1,攻勢,1,体術,1,,,,
,シュバルカアームα,8,2,2,0,0,66,66,2,0,-1,0,-3,毛皮の昂揚,1,鎖刃竜の飢餓,1,属性変換,1,回復速度,1,,
,シュバルカアームβ,8,2,2,1,0,66,66,2,0,-1,0,-3,毛皮の誘惑,1,鎖刃竜の飢餓,1,属性変換,1,,,,
,護鎖刃竜アームα,8,1,0,0,0,66,66,2,0,-1,0,-4,護竜の脈動,1,護鎖刃竜の命脈,1,弱点特効,2,属性やられ耐性,1,,
,護鎖刃竜アームβ,8,1,1,1,0,66,66,2,0,-1,0,-4,護竜の守り,1,護鎖刃竜の命脈,1,弱点特効,2,,,,
