シリーズ名,名前,レア度,スロット1,スロット2,スロット3,入手時期,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5
,プポルメイルβ,5,2,0,0,0,36,36,0,-3,0,0,1,革細工の滑性,1,毒耐性,2,,,,,,
,コンガメイルα,5,0,0,0,0,36,36,-3,1,1,-1,2,毛皮の昂揚,1,威嚇,2,連撃,1,,,,
,コンガメイルβ,5,1,1,1,0,36,36,-3,1,1,-1,2,毛皮の誘惑,1,威嚇,2,,,,,,
,バーラメイルα,5,1,0,0,0,38,38,-1,2,-3,1,1,鱗張りの技法,1,地質学,1,スタミナ急速回復,1,,,,
,バーラメイルβ,5,1,1,1,0,38,38,-1,2,-3,1,1,鱗重ねの工夫,1,地質学,1,,,,,,
,レイアメイルα,5,0,0,0,0,38,38,2,0,-2,0,-3,鱗張りの技法,1,攻勢,2,,,,,,
,レイアメイルβ,5,1,1,1,0,38,38,2,0,-2,0,-3,鱗重ねの工夫,1,攻勢,1,,,,,,
,スキュラメイルα,5,0,0,0,0,38,38,-2,2,-2,1,2,甲虫の知らせ,1,急襲,1,弱点特効,1,,,,
,スキュラメイルβ,5,1,1,1,0,38,38,-2,2,-2,1,2,甲虫の擬態,1,急襲,1,,,,,,
,ヒラバミメイルα,5,1,0,0,0,38,38,-3,2,-2,3,0,鱗張りの技法,1,氷耐性,2,回避性能,1,,,,
,ヒラバミメイルβ,5,2,0,0,0,38,38,-3,2,-2,3,0,鱗重ねの工夫,1,氷耐性,1,回避性能,1,,,,
,ドシャグマメイルα,6,1,0,0,0,48,48,-3,2,-1,-1,4,毛皮の昂揚,1,闢獣の力,1,力の解放,1,スタミナ急速回復,1,,
,ドシャグマメイルβ,6,1,1,1,0,48,48,-3,2,-1,-1,4,毛皮の誘惑,1,闢獣の力,1,力の解放,1,,,,
,護雷顎竜メイルα,6,2,0,0,0,48,48,-1,-1,2,-3,-2,護竜の脈動,1,雷顎竜の闘志,1,渾身,1,災禍転福,1,,
,護雷顎竜メイルβ,6,2,1,1,0,48,48,-1,-1,2,-3,-2,護竜の守り,1,雷顎竜の闘志,1,渾身,1,,,,
,インゴットメイルα,6,1,1,0,0,44,44,-2,0,3,-1,0,風圧耐性,1,逆恨み,1,,,,,,
,アジャラメイルα,6,1,0,0,0,48,48,3,-3,1,-2,0,毛皮の昂揚,1,逆恨み,2,爆破やられ耐性,1,,,,
,アジャラメイルβ,6,2,0,0,0,48,48,3,-3,1,-2,0,毛皮の誘惑,1,逆恨み,2,,,,,,
,ブランゴメイルα,6,0,0,0,0,48,48,-4,1,0,4,0,毛皮の昂揚,1,雪獅子の闘志,1,挑戦者,2,アイテム使用強化,2,,
,ブランゴメイルβ,6,2,0,0,0,48,48,-4,1,0,4,0,毛皮の誘惑,1,雪獅子の闘志,1,挑戦者,2,,,,
,護闢獣メイルα,6,2,1,0,0,48,48,-3,2,-1,-2,2,護竜の脈動,1,闢獣の力,1,体術,2,防御力ＤＯＷＮ耐性,1,,
,護闢獣メイルβ,6,2,2,0,0,48,48,-3,2,-1,-2,2,護竜の守り,1,闢獣の力,1,体術,2,,,,
,護火竜メイルα,6,1,0,0,0,48,48,3,1,-2,1,-5,護竜の脈動,1,火竜の力,1,弱点特効,1,威嚇,2,,
,護火竜メイルβ,6,2,0,0,0,48,48,3,1,-2,1,-5,護竜の守り,1,火竜の力,1,弱点特効,1,威嚇,1,,
,グラビドメイルα,6,2,1,0,0,52,52,4,-3,1,0,-2,鱗張りの技法,1,鎧竜の守護,1,フルチャージ,1,回復速度,2,,
,グラビドメイルβ,6,2,2,0,0,52,52,4,-3,1,0,-2,鱗重ねの工夫,1,鎧竜の守護,1,フルチャージ,1,回復速度,1,,
,護兇爪竜メイルα,6,2,0,0,0,48,48,-2,-3,-2,-2,4,護竜の脈動,1,兇爪竜の力,1,耳栓,1,裂傷耐性,2,,
,護兇爪竜メイルβ,6,2,2,0,0,48,48,-2,-3,-2,-2,4,護竜の守り,1,兇爪竜の力,1,耳栓,1,,,,
,レウスメイルα,6,1,0,0,0,48,48,3,1,-2,1,-3,鱗張りの技法,1,火竜の力,1,巧撃,2,体術,1,,
,レウスメイルβ,6,1,1,0,0,48,48,3,1,-2,1,-3,鱗重ねの工夫,1,火竜の力,1,巧撃,2,,,,
,シーウーメイルα,6,0,0,0,0,48,48,1,1,1,-3,2,革細工の柔性,1,暗器蛸の力,1,火事場力,3,急襲,1,,
,シーウーメイルβ,6,1,1,0,0,48,48,1,1,1,-3,2,革細工の滑性,1,暗器蛸の力,1,火事場力,3,,,,
,ドーベルメイルα,7,3,2,0,0,56,56,-2,0,-1,-1,4,体術,1,ランナー,1,,,,,,
,ダマスクメイルα,7,2,2,0,0,56,56,4,-2,0,0,0,広域化,1,体力回復量ＵＰ,2,,,,,,
,ダハディラメイルα,7,3,1,0,0,60,60,-3,2,-1,2,-1,ヌシの誇り,1,凍峰竜の反逆,1,環境適応,1,拘束耐性,2,,
,ダハディラメイルβ,7,3,2,0,0,60,60,-3,2,-1,2,-1,ヌシの憤激,1,凍峰竜の反逆,1,環境適応,1,拘束耐性,1,,
,レダゼルトメイルα,7,1,1,0,0,60,60,0,-2,4,-3,0,ヌシの誇り,1,煌雷竜の力,1,渾身,2,スタミナ急速回復,1,,
,レダゼルトメイルβ,7,2,1,1,0,60,60,0,-2,4,-3,0,ヌシの憤激,1,煌雷竜の力,1,渾身,1,スタミナ急速回復,1,,
,トゥナムルメイルα,7,3,0,0,0,60,60,-1,4,-3,0,0,ヌシの誇り,1,波衣竜の守護,1,整備,2,水場・油泥適応,1,,
,トゥナムルメイルβ,7,3,1,0,0,60,60,-1,4,-3,0,0,ヌシの憤激,1,波衣竜の守護,1,整備,2,,,,
,エグゾルスメイルα,7,1,1,0,0,60,60,5,-4,0,1,0,ヌシの誇り,1,獄焔蛸の反逆,1,逆恨み,1,連撃,1,,
,エグゾルスメイルβ,7,3,1,1,0,60,60,5,-4,0,1,0,ヌシの憤激,1,獄焔蛸の反逆,1,逆恨み,1,,,,
,ゴアメイルα,7,3,0,0,0,60,60,-2,3,-1,2,-1,鱗張りの技法,1,黒蝕竜の力,1,回避性能,2,無我の境地,1,,
,ゴアメイルβ,7,3,1,0,0,60,60,-2,3,-1,2,-1,鱗重ねの工夫,1,黒蝕竜の力,1,回避性能,2,,,,
,調査団メイルα,7,1,0,0,0,44,44,2,2,0,0,0,挑戦者,1,精霊の加護,2,,,,,,
,クナファケープα,7,2,0,0,0,44,44,1,1,4,1,1,先達の導き,1,満足感,2,オトモへの采配,1,,,,
,アズズエプロンα,7,1,1,0,0,44,44,4,1,1,1,1,先達の導き,1,火事場力,3,,,,,,
,デスギアムスケルα,7,2,0,0,0,44,44,3,2,-2,3,4,先達の導き,1,逆恨み,1,急襲,1,,,,
,パピメルペットα,7,2,0,0,0,44,44,-1,-1,2,0,2,先達の導き,1,体術,1,回避性能,1,回避距離ＵＰ,1,,
,オウビートペットα,7,2,0,0,0,44,44,-1,-1,2,0,2,先達の導き,1,火事場力,1,攻勢,1,麻痺耐性,1,,
,ハイメタメイルα,7,2,0,0,0,44,44,0,-1,-2,3,0,先達の導き,1,防御力ＤＯＷＮ耐性,3,破壊王,1,,,,
,バトルメイルα,7,2,0,0,0,44,44,2,-1,-1,0,0,先達の導き,1,腹減り耐性,3,睡眠耐性,2,,,,
,メルホアトロンコα,7,2,0,0,0,44,44,0,1,3,0,0,先達の導き,1,整備,3,,,,,,
,アーティアメイルα,7,2,1,1,0,44,44,1,-2,-2,2,3,護竜の守り,1,鎖刃刺撃,1,環境適応,1,,,,
,ギルドエースメイルα,7,3,0,0,0,60,60,2,2,2,2,2,フルチャージ,1,攻勢,1,体術,1,,,,
,シュバルカメイルα,8,2,0,0,0,66,66,2,0,-1,0,-3,毛皮の昂揚,1,鎖刃竜の飢餓,1,弱点特効,1,属性吸収,1,,
,シュバルカメイルβ,8,3,2,0,0,66,66,2,0,-1,0,-3,毛皮の誘惑,1,鎖刃竜の飢餓,1,弱点特効,1,,,,
,護鎖刃竜メイルα,8,0,0,0,0,66,66,2,0,-1,0,-4,護竜の脈動,1,護鎖刃竜の命脈,1,鎖刃刺撃,2,属性やられ耐性,2,,
,護鎖刃竜メイルβ,8,3,0,0,0,66,66,2,0,-1,0,-4,護竜の守り,1,護鎖刃竜の命脈,1,鎖刃刺撃,1,属性やられ耐性,2,,
