シリーズ名,名前,レア度,スロット1,スロット2,スロット3,入手時期,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5
,ヒラバミヘルムβ,5,1,1,0,0,38,72,-3,2,-2,3,0,鱗重ねの工夫,1,回避性能,1,,,,,,
,ドシャグマヘルムα,6,2,1,0,0,48,74,-3,2,-1,-1,4,毛皮の昂揚,1,闢獣の力,1,満足感,2,気絶耐性,1,,
,ドシャグマヘルムβ,6,2,1,1,0,48,74,-3,2,-1,-1,4,毛皮の誘惑,1,闢獣の力,1,満足感,1,気絶耐性,1,,
,護雷顎竜ヘルムα,6,0,0,0,0,48,74,-1,-1,2,-3,-2,護竜の脈動,1,雷顎竜の闘志,1,挑戦者,2,災禍転福,1,,
,護雷顎竜ヘルムβ,6,2,0,0,0,48,74,-1,-1,2,-3,-2,護竜の守り,1,雷顎竜の闘志,1,挑戦者,2,,,,
,インゴットヘルムα,6,2,0,0,0,44,70,-2,0,3,-1,0,精霊の加護,2,逆恨み,1,,,,,,
,アジャラヘルムα,6,1,0,0,0,48,74,3,-3,1,-2,0,毛皮の昂揚,1,逆恨み,2,ボマー,1,,,,
,アジャラヘルムβ,6,2,1,0,0,48,74,3,-3,1,-2,0,毛皮の誘惑,1,逆恨み,1,ボマー,1,,,,
,ブランゴヘルムα,6,1,1,0,0,48,74,-4,1,0,4,0,毛皮の昂揚,1,雪獅子の闘志,1,広域化,2,逆襲,1,,
,ブランゴヘルムβ,6,2,1,1,0,48,74,-4,1,0,4,0,毛皮の誘惑,1,雪獅子の闘志,1,広域化,2,,,,
,護闢獣ヘルムα,6,2,1,0,0,48,74,-3,2,-1,-2,2,護竜の脈動,1,闢獣の力,1,火事場力,1,腹減り耐性,2,,
,護闢獣ヘルムβ,6,2,2,1,0,48,74,-3,2,-1,-2,2,護竜の守り,1,闢獣の力,1,火事場力,1,,,,
,護火竜ヘルムα,6,1,1,0,0,48,74,3,1,-2,1,-5,護竜の脈動,1,火竜の力,1,弱点特効,1,環境利用の知識,2,,
,護火竜ヘルムβ,6,2,2,0,0,48,74,3,1,-2,1,-5,護竜の守り,1,火竜の力,1,弱点特効,1,,,,
,グラビドヘルムα,6,2,1,0,0,52,78,4,-3,1,0,-2,鱗張りの技法,1,鎧竜の守護,1,フルチャージ,1,耐震,1,,
,グラビドヘルムβ,6,2,2,0,0,52,78,4,-3,1,0,-2,鱗重ねの工夫,1,鎧竜の守護,1,フルチャージ,1,,,,
,護兇爪竜ヘルムα,6,0,0,0,0,48,74,-2,-3,-2,-2,4,護竜の脈動,1,兇爪竜の力,1,連撃,2,耳栓,1,,
,護兇爪竜ヘルムβ,6,2,0,0,0,48,74,-2,-3,-2,-2,4,護竜の守り,1,兇爪竜の力,1,連撃,2,,,,
,レウスヘルムα,6,1,1,0,0,48,74,3,1,-2,1,-3,鱗張りの技法,1,火竜の力,1,回避性能,2,体術,1,,
,レウスヘルムβ,6,2,2,0,0,48,74,3,1,-2,1,-3,鱗重ねの工夫,1,火竜の力,1,回避性能,1,体術,1,,
,シーウーヘルムα,6,1,0,0,0,48,74,1,1,1,-3,2,革細工の柔性,1,暗器蛸の力,1,巧撃,2,急襲,1,,
,シーウーヘルムβ,6,2,1,0,0,48,74,1,1,1,-3,2,革細工の滑性,1,暗器蛸の力,1,巧撃,2,,,,
,ドーベルヘルムα,7,3,0,0,0,56,72,-2,0,-1,-1,4,体術,1,スタミナ急速回復,1,,,,,,
,ダマスクヘルムα,7,3,1,0,0,56,72,4,-2,0,0,0,広域化,1,精霊の加護,2,,,,,,
,ダハディラヘルムα,7,1,0,0,0,60,76,-3,2,-1,2,-1,ヌシの誇り,1,凍峰竜の反逆,1,挑戦者,1,弱点特効,1,,
,ダハディラヘルムβ,7,2,2,0,0,60,76,-3,2,-1,2,-1,ヌシの憤激,1,凍峰竜の反逆,1,挑戦者,1,,,,
,レダゼルトヘルムα,7,0,0,0,0,60,76,0,-2,4,-3,0,ヌシの誇り,1,煌雷竜の力,1,力の解放,2,回避距離ＵＰ,1,,
,レダゼルトヘルムβ,7,3,0,0,0,60,76,0,-2,4,-3,0,ヌシの憤激,1,煌雷竜の力,1,力の解放,1,回避距離ＵＰ,1,,
,トゥナムルヘルムα,7,2,1,0,0,60,76,-1,4,-3,0,0,ヌシの誇り,1,波衣竜の守護,1,整備,2,耳栓,1,,
,トゥナムルヘルムβ,7,3,2,0,0,60,76,-1,4,-3,0,0,ヌシの憤激,1,波衣竜の守護,1,整備,1,耳栓,1,,
,エグゾルスヘルムα,7,1,1,0,0,60,76,5,-4,0,1,0,ヌシの誇り,1,獄焔蛸の反逆,1,逆恨み,2,逆襲,1,,
,エグゾルスヘルムβ,7,2,2,0,0,60,76,5,-4,0,1,0,ヌシの憤激,1,獄焔蛸の反逆,1,逆恨み,1,逆襲,1,,
,ゴアヘルムα,7,2,0,0,0,60,76,-2,3,-1,2,-1,鱗張りの技法,1,黒蝕竜の力,1,回避性能,2,災禍転福,1,,
,ゴアヘルムβ,7,3,1,0,0,60,76,-2,3,-1,2,-1,鱗重ねの工夫,1,黒蝕竜の力,1,回避性能,1,災禍転福,1,,
,調査団ヘルムα,6,1,0,0,0,44,70,2,2,0,0,0,挑戦者,1,渾身,1,,,,,,
,クナファヘッドα,6,2,0,0,0,44,70,1,1,4,1,1,先達の導き,1,広域化,2,オトモへの采配,1,,,,
,アズズヘッドα,6,2,0,0,0,44,70,4,1,1,1,1,先達の導き,1,渾身,2,,,,,,
,シルドフードα,6,2,1,1,0,44,70,1,1,1,1,4,先達の導き,1,植生学,3,,,,,,
,デスギアゲヒルα,6,2,0,0,0,44,70,3,2,-2,3,4,先達の導き,1,逆恨み,1,急襲,1,,,,
,パピメルテスタα,6,2,0,0,0,44,70,-1,-1,2,0,2,先達の導き,1,体術,1,回避性能,1,回避距離ＵＰ,1,,
,オウビートテスタα,6,2,0,0,0,44,70,-1,-1,2,0,2,先達の導き,1,火事場力,1,攻勢,1,睡眠耐性,1,,
,ハイメタヘルムα,6,2,0,0,0,44,70,0,-1,-2,3,0,先達の導き,1,気絶耐性,3,破壊王,1,,,,
,バトルヘルムα,6,2,0,0,0,44,70,2,-1,-1,0,0,先達の導き,1,スタミナ急速回復,2,,,,,,
,メルホアフロールα,6,2,0,0,0,44,70,0,1,3,0,0,先達の導き,1,環境利用の知識,3,毒耐性,2,,,,
,アーティアヘルムα,6,2,1,0,0,44,70,1,-2,-2,2,3,護竜の守り,1,鎖刃刺撃,1,耳栓,1,,,,
,ギルドエースピアスα,8,3,0,0,0,60,74,2,2,2,2,2,フルチャージ,1,攻勢,1,体術,1,,,,
,シュバルカヘルムα,8,0,0,0,0,66,80,2,0,-1,0,-3,毛皮の昂揚,1,鎖刃竜の飢餓,1,属性変換,1,属性吸収,2,,
,シュバルカヘルムβ,8,3,2,1,0,66,80,2,0,-1,0,-3,毛皮の誘惑,1,鎖刃竜の飢餓,1,属性変換,1,,,,
,護鎖刃竜ヘルムα,8,1,1,0,0,66,80,2,0,-1,0,-4,護竜の脈動,1,護鎖刃竜の命脈,1,鎖刃刺撃,1,破壊王,2,,
,護鎖刃竜ヘルムβ,8,3,1,0,0,66,80,2,0,-1,0,-4,護竜の守り,1,護鎖刃竜の命脈,1,鎖刃刺撃,1,破壊王,1,,
,竜王の隻眼α,8,0,0,0,0,60,74,0,0,0,0,0,逆襲,3,,,,,,,,
,ギルドクロスアクセα,5,1,0,0,0,36,70,0,0,0,0,0,耳栓,1,ひるみ軽減,1,拘束耐性,2,栄光の誉れ,1,,
,クリークバイザーα,6,2,1,0,0,48,74,2,2,2,2,2,精霊の加護,2,体力回復量ＵＰ,1,オトモへの采配,2,栄光の誉れ,1,,
,健啖家の耳飾りα,5,1,0,0,0,36,70,0,0,0,0,0,早食い,2,満足感,2,栄光の誉れ,1,,,,
,献身のピアスα,6,2,0,0,0,48,74,0,0,0,0,0,広域化,4,栄光の誉れ,1,,,,,,
,ミツネヘルムα,6,3,0,0,0,48,74,0,2,-3,1,-1,回避距離ＵＰ,1,水場・油泥適応,2,毛皮の昂揚,1,泡狐竜の力,1,,
,ミツネヘルムβ,6,3,2,0,0,48,74,0,2,-3,1,-1,水場・油泥適応,2,毛皮の誘惑,1,泡狐竜の力,1,,,,
,無垢ナル龍冠α,8,3,2,0,0,68,82,-2,2,2,0,-4,挑戦者,1,回復速度,2,護竜の脈動,1,白熾龍の脈動,1,,
,無垢ナル龍冠β,8,3,2,1,0,68,82,-2,2,2,0,-4,挑戦者,1,回復速度,1,護竜の守り,1,白熾龍の脈動,1,,
,ラギアヘルムα,7,2,1,0,0,64,80,-3,2,4,-1,-2,渾身,2,力の解放,1,革細工の柔性,1,海竜の渦雷,1,,
,ラギアヘルムβ,7,3,2,1,0,64,80,-3,2,4,-1,-2,渾身,2,革細工の滑性,1,海竜の渦雷,1,,,,
,レギオスヘルムα,7,3,0,0,0,64,80,4,0,-3,-2,0,巧撃,1,逆襲,1,裂傷耐性,1,鱗張りの技法,1,千刃竜の闘志,1
,レギオスヘルムβ,7,3,1,1,0,64,80,4,0,-3,-2,0,巧撃,1,裂傷耐性,1,鱗重ねの工夫,1,千刃竜の闘志,1,,
,レダゼルトヘルムγ,8,3,0,0,0,68,82,0,-2,4,-3,0,弱点特効,1,渾身,1,スタミナ急速回復,1,ヌシの魂,1,煌雷竜の力,1
,トゥナムルヘルムγ,8,2,2,0,0,68,82,-1,4,-3,0,0,フルチャージ,2,耳栓,1,ヌシの魂,1,波衣竜の守護,1,,
,桜波【御頭】α,5,0,0,0,0,36,70,2,2,-3,2,2,攻勢,2,環境適応,1,祝祭の巡り,1,花舞の祈り,1,,
,ブロッサムヘッドα,5,2,1,0,0,36,70,1,1,4,1,1,麻痺耐性,2,祝祭の巡り,1,,,,,,
,アーフィヘッドα,5,2,0,0,0,36,70,2,-3,2,2,2,ボマー,2,火耐性,2,祝祭の巡り,1,踊火の祈り,1,,
,ダイバーヘッドα,5,2,0,0,0,36,70,1,4,1,1,1,急襲,2,祝祭の巡り,1,,,,,,
,ハナショウジョウα,5,1,0,0,0,36,70,-3,2,-2,2,2,属性やられ耐性,1,災禍転福,1,,,,,,
,調査隊の耳飾りα,5,1,0,0,0,40,74,1,1,1,1,1,昆虫標本の達人,1,急襲,1,毛皮の昂揚,1,,,,
,アワウタイズクα,5,0,0,0,0,36,70,-2,2,1,-2,3,広域化,2,回避距離ＵＰ,1,革細工の滑性,1,,,,
,封印の龍骸布α,6,0,0,0,0,48,74,-3,0,0,1,5,逆恨み,2,龍耐性,3,,,,,,
,知略の眼鏡α,6,2,1,1,0,48,74,2,2,2,2,2,地質学,3,,,,,,,,
,スクエアグラスα,6,1,1,0,0,48,74,2,2,2,2,2,植生学,4,ハンター生活,1,,,,,,
,封印の眼帯α,7,3,3,0,0,60,76,3,2,0,2,0,火耐性,2,,,,,,,,
,シャドウアイα,7,3,0,0,0,60,76,4,0,4,2,0,気絶耐性,3,閃光強化,1,,,,,,
,ラウンドアイα,7,1,1,0,0,60,76,0,4,2,0,4,属性やられ耐性,3,,,,,,,,
,アイルーフェイクα,5,0,0,0,0,36,70,2,2,2,2,2,オトモへの采配,5,,,,,,,,
,アンダーリムグラスα,6,1,0,0,0,48,74,2,2,2,2,2,広域化,5,,,,,,,,
,ハートグラスα,6,1,0,0,0,48,74,4,0,4,0,2,キノコ大好き,3,,,,,,,,
,ドシャグマフェイクα,6,0,0,0,0,48,74,-3,2,-1,-1,4,力の解放,2,スタミナ急速回復,1,体力回復量ＵＰ,1,毛皮の昂揚,1,闢獣の力,1
