シリーズ名,名前,レア度,スロット1,スロット2,スロット3,入手時期,初期防御力,最終防御力,火耐性,水耐性,雷耐性,氷耐性,龍耐性,スキル系統1,スキル値1,スキル系統2,スキル値2,スキル系統3,スキル値3,スキル系統4,スキル値4,スキル系統5,スキル値5
パピオム,パピオムアンカ,3,0,0,0,4,22,50,-1,-1,2,0,2,防御,1,,,,,,,,
クインビート,クインビートアンカ,3,0,0,0,4,22,50,-1,-1,2,0,2,防御,1,,,,,,,,
レザーα,レザーベルトα,5,0,0,0,11,32,54,2,0,0,0,0,スタミナ急速回復,1,,,,,,,,
レザーβ,レザーベルトβ,5,1,0,0,11,32,54,2,0,0,0,0,,,,,,,,,,
チェーンα,チェーンベルトα,5,0,0,0,11,32,54,0,2,0,0,0,納刀術,1,,,,,,,,
チェーンβ,チェーンベルトβ,5,1,0,0,11,32,54,0,2,0,0,0,,,,,,,,,,
ハンターα,ハンターコイルα,5,0,0,0,11,36,58,2,2,0,0,0,採集の達人,1,潜伏,1,,,,,,
ハンターβ,ハンターコイルβ,5,1,0,0,11,36,58,2,2,0,0,0,採集の達人,1,,,,,,,,
ボーンα,ボーンコイルα,5,0,0,0,11,36,58,2,0,2,0,2,笛吹き名人,1,釣り名人,1,,,,,,
ボーンβ,ボーンコイルβ,5,1,0,0,11,36,58,2,0,2,0,2,笛吹き名人,1,,,,,,,,
アロイα,アロイコイルα,5,0,0,0,11,36,58,-2,0,-2,-2,0,毒耐性,1,水耐性,1,,,,,,
アロイβ,アロイコイルβ,5,1,0,0,11,36,58,-2,0,-2,-2,0,毒耐性,1,,,,,,,,
オウビートα,オウビートアンカα,5,1,0,0,11,42,64,-1,-1,2,0,2,ハニーハンター,1,納刀術,1,,,,,,
オウビートβ,オウビートアンカβ,5,2,1,0,11,42,64,-1,-1,2,0,2,ハニーハンター,1,,,,,,,,
パピメルα,パピメルアンカα,5,1,0,0,11,42,64,-1,-1,2,0,2,ハニーハンター,1,納刀術,1,,,,,,
パピメルβ,パピメルアンカβ,5,2,1,0,11,42,64,-1,-1,2,0,2,ハニーハンター,1,,,,,,,,
ランゴα,ランゴコイルα,5,0,0,0,11,38,60,-2,1,1,1,2,麻痺耐性,2,,,,,,,,
ランゴβ,ランゴコイルβ,5,1,0,0,11,38,60,-2,1,1,1,2,麻痺耐性,1,,,,,,,,
タロスα,タロスコイルα,5,0,0,0,11,38,60,-1,-1,0,0,2,剥ぎ取り鉄人,1,腹減り耐性,1,,,,,,
タロスβ,タロスコイルβ,5,1,0,0,11,38,60,-1,-1,0,0,2,剥ぎ取り鉄人,1,,,,,,,,
ジャグラスα,ジャグラスコイルα,5,0,0,0,11,40,62,-2,2,-1,-1,1,不屈,1,早食い,1,,,,,,
ジャグラスβ,ジャグラスコイルβ,5,1,0,0,11,40,62,-2,2,-1,-1,1,不屈,1,,,,,,,,
クルルα,クルルコイルα,5,0,0,0,11,40,62,0,-3,0,1,0,アイテム使用強化,2,,,,,,,,
クルルβ,クルルコイルβ,5,2,0,0,11,40,62,0,-3,0,1,0,アイテム使用強化,1,,,,,,,,
ツィツィα,ツィツィコイルα,5,0,0,0,11,40,62,0,0,-3,-2,0,広域化,2,水属性攻撃強化,1,,,,,,
ツィツィβ,ツィツィコイルβ,5,2,0,0,11,40,62,0,0,-3,-2,0,広域化,1,,,,,,,,
ギルオスα,ギルオスコイルα,5,0,0,0,11,40,62,0,-3,2,0,1,瘴気環境適応,1,麻痺属性強化,1,,,,,,
ギルオスβ,ギルオスコイルβ,5,1,0,0,11,40,62,0,-3,2,0,1,瘴気環境適応,1,,,,,,,,
プケプケα,プケプケコイルα,5,0,0,0,11,42,64,0,3,-3,0,1,毒属性強化,2,,,,,,,,
プケプケβ,プケプケコイルβ,5,1,0,0,11,42,64,0,3,-3,0,1,毒属性強化,1,,,,,,,,
ボロスα,ボロスコイルα,5,0,0,0,11,42,64,-3,-1,3,-1,0,泥耐性,1,ガード性能,1,,,,,,
ボロスβ,ボロスコイルβ,5,2,0,0,11,42,64,-3,-1,3,-1,0,泥耐性,1,,,,,,,,
ジャナフα,ジャナフコイルα,5,0,0,0,11,44,66,3,-3,-1,-1,0,火耐性,2,砲術,1,蛮顎竜の闘志,1,,,,
ジャナフβ,ジャナフコイルβ,5,2,0,0,11,44,66,3,-3,-1,-1,0,火耐性,2,蛮顎竜の闘志,1,,,,,,
ジュラα,ジュラコイルα,5,0,0,0,11,44,66,-1,2,-3,0,0,氷耐性,2,,,,,,,,
ジュラβ,ジュラコイルβ,5,1,0,0,11,44,66,-1,2,-3,0,0,氷耐性,1,,,,,,,,
カガチα,カガチコイルα,5,0,0,0,11,44,66,0,-3,3,0,0,雷属性攻撃強化,2,雷耐性,1,,,,,,
カガチβ,カガチコイルβ,5,1,1,0,11,44,66,0,-3,3,0,0,雷属性攻撃強化,1,,,,,,,,
ウルムーα,ウルムーコイルα,5,0,0,0,11,44,66,-3,2,0,1,0,精霊の加護,2,,,,,,,,
ウルムーβ,ウルムーコイルβ,5,1,0,0,11,44,66,-3,2,0,1,0,精霊の加護,1,,,,,,,,
レイアα,レイアコイルα,5,0,0,0,11,46,68,2,0,-2,0,-3,毒耐性,2,体力増強,1,,,,,,
レイアβ,レイアコイルβ,5,1,0,0,11,46,68,2,0,-2,0,-3,毒耐性,1,体力増強,1,,,,,,
リオハートα,リオハートコイルα,6,0,0,0,13,52,72,3,0,-3,0,-4,匠,1,毒耐性,1,桜火竜の奥義,1,,,,
リオハートβ,リオハートコイルβ,6,1,0,0,13,52,72,3,0,-3,0,-4,匠,1,桜火竜の奥義,1,,,,,,
バルキンα,バルキンコイルα,6,0,0,0,11,46,66,0,2,0,-1,-2,ガード性能,2,,,,,,,,
バルキンβ,バルキンコイルβ,6,2,0,0,11,46,66,0,2,0,-1,-2,ガード性能,1,,,,,,,,
ガマルα,ガマルコイルα,5,0,0,0,13,48,70,2,0,-3,0,2,砲術,2,爆破やられ耐性,1,,,,,,
ガマルβ,ガマルコイルβ,5,1,0,0,13,48,70,2,0,-3,0,2,砲術,2,,,,,,,,
ゾラマグナα,ゾラマグナスパインα,6,0,0,0,11,44,64,4,-3,-1,-2,-3,不屈,1,耐震,1,熔山龍の奥義,1,,,,
ゾラマグナβ,ゾラマグナスパインβ,6,2,0,0,11,44,64,4,-3,-1,-2,-3,不屈,1,熔山龍の奥義,1,,,,,,
ハイメタα,ハイメタコイルα,6,0,0,0,13,50,70,0,-1,-2,3,0,砲弾装填数ＵＰ,1,防御,1,,,,,,
ハイメタβ,ハイメタコイルβ,6,1,0,0,13,50,70,0,-1,-2,3,0,砲弾装填数ＵＰ,1,,,,,,,,
インゴットα,インゴットコイルα,6,0,0,0,13,50,70,-2,0,3,-1,0,風圧耐性,2,,,,,,,,
インゴットβ,インゴットコイルβ,6,3,0,0,13,50,70,-2,0,3,-1,0,風圧耐性,1,,,,,,,,
ブリゲイドα,ブリゲイドコイルα,6,0,0,0,13,52,72,1,0,2,0,2,地質学,2,回復速度,1,,,,,,
ブリゲイドβ,ブリゲイドコイルβ,6,1,0,0,13,52,72,1,0,2,0,2,地質学,2,,,,,,,,
ラヴァα,ラヴァコイルα,6,0,0,0,13,56,76,3,-3,1,-2,2,納刀術,2,体力回復量ＵＰ,1,,,,,,
ラヴァβ,ラヴァコイルβ,6,1,0,0,13,56,76,3,-3,1,-2,2,納刀術,2,,,,,,,,
ギエナα,ギエナコイルα,6,0,0,0,13,54,74,-1,2,-3,3,0,氷属性攻撃強化,2,風圧耐性,1,風漂竜の恩寵,1,,,,
ギエナβ,ギエナコイルβ,6,2,0,0,13,54,74,-1,2,-3,3,0,氷属性攻撃強化,2,風漂竜の恩寵,1,,,,,,
ガロンα,ガロンコイルα,6,0,0,0,13,54,74,2,2,-2,-3,0,見切り,2,砥石使用高速化,1,惨爪竜の奥義,1,,,,
ガロンβ,ガロンコイルβ,6,2,0,0,13,54,74,2,2,-2,-3,0,見切り,2,惨爪竜の奥義,1,,,,,,
レウスα,レウスコイルα,6,0,0,0,13,54,74,3,1,-2,1,-3,火属性攻撃強化,2,集中,1,火竜の奥義,1,,,,
レウスβ,レウスコイルβ,6,2,0,0,13,54,74,3,1,-2,1,-3,火属性攻撃強化,2,火竜の奥義,1,,,,,,
リオソウルα,リオソウルコイルα,7,0,0,0,13,56,68,3,2,2,-3,-4,風圧耐性,2,貫通弾・竜の一矢強化,1,火竜の奥義,1,,,,
リオソウルβ,リオソウルコイルβ,7,3,0,0,13,56,68,3,2,2,-3,-4,風圧耐性,2,火竜の奥義,1,,,,,,
ディアブロα,ディアブロコイルα,6,0,0,0,13,54,74,3,-2,0,-3,2,ランナー,2,抜刀術【技】,1,角竜の奥義,1,,,,
ディアブロβ,ディアブロコイルβ,6,2,0,0,13,54,74,3,-2,0,-3,2,ランナー,2,角竜の奥義,1,,,,,,
ディアネロα,ディアネロコイルα,7,0,0,0,13,56,68,2,-3,0,-4,2,逆恨み,1,破壊王,1,角竜の奥義,1,,,,
ディアネロβ,ディアネロコイルβ,7,2,0,0,13,56,68,2,-3,0,-4,2,逆恨み,1,角竜の奥義,1,,,,,,
ガンキンα,ガンキンコイルα,7,1,1,0,13,60,72,4,-3,1,-2,-2,破壊王,1,雷耐性,1,爆鎚竜の守護,1,,,,
ガンキンβ,ガンキンコイルβ,7,2,1,0,13,60,72,4,-3,1,-2,-2,破壊王,1,爆鎚竜の守護,1,,,,,,
バゼルα,バゼルコイルα,7,1,0,0,13,58,70,3,1,-4,-2,-2,耳栓,2,ジャンプ鉄人,1,爆鱗竜の守護,1,,,,
バゼルβ,バゼルコイルβ,7,3,0,0,13,58,70,3,1,-4,-2,-2,耳栓,2,爆鱗竜の守護,1,,,,,,
ダマスクα,ダマスクコイルα,7,1,0,0,14,60,72,4,-2,0,0,0,集中,1,防御力ＤＯＷＮ耐性,2,,,,,,
ダマスクβ,ダマスクコイルβ,7,1,1,1,14,60,72,4,-2,0,0,0,集中,1,,,,,,,,
ドーベルα,ドーベルコイルα,7,2,0,0,14,60,72,-2,0,-1,-1,4,龍耐性,2,攻撃,1,,,,,,
ドーベルβ,ドーベルコイルβ,7,3,0,0,14,60,72,-2,0,-1,-1,4,龍耐性,2,,,,,,,,
デスギアα,デスギアナーベルα,7,0,0,0,14,62,74,3,2,-2,3,-4,龍属性攻撃強化,2,集中,1,,,,,,
デスギアβ,デスギアナーベルβ,7,1,1,0,14,62,74,3,2,-2,3,-4,龍属性攻撃強化,2,,,,,,,,
オーグα,オーグコイルα,8,0,0,0,14,64,70,1,1,-3,1,-3,攻撃,2,スタミナ急速回復,1,滅尽龍の飢餓,1,,,,
オーグβ,オーグコイルβ,8,2,0,0,14,64,70,1,1,-3,1,-3,攻撃,2,滅尽龍の飢餓,1,,,,,,
カイザーα,カイザーコイルα,8,0,0,0,14,64,70,3,-3,1,-3,1,爆破属性強化,2,弱点特効,1,炎王龍の武技,1,,,,
カイザーβ,カイザーコイルβ,8,2,0,0,14,64,70,3,-3,1,-3,1,爆破属性強化,2,炎王龍の武技,1,,,,,,
クシャナα,クシャナアンダα,8,0,0,0,14,64,70,0,2,-3,4,-2,氷属性攻撃強化,2,回避距離ＵＰ,1,鋼龍の飛翔,1,,,,
クシャナβ,クシャナアンダβ,8,1,1,0,14,64,70,0,2,-3,4,-2,氷属性攻撃強化,2,鋼龍の飛翔,1,,,,,,
ウルズα,ウルズコイルα,8,1,0,0,14,64,70,-4,4,1,-1,-3,フルチャージ,1,瘴気耐性,1,屍套龍の命脈,1,,,,
ウルズβ,ウルズコイルβ,8,1,1,0,14,64,70,-4,4,1,-1,-3,フルチャージ,1,屍套龍の命脈,1,,,,,,
キリンα,キリンフープα,8,0,0,0,14,64,70,-3,-2,4,-2,2,属性やられ耐性,1,属性解放／装填拡張,1,幻獣の恩寵,1,,,,
キリンβ,キリンフープβ,8,1,1,1,14,64,70,-3,-2,4,-2,2,属性やられ耐性,1,幻獣の恩寵,1,,,,,,
ゼノラージα,ゼノラージスパインα,8,2,0,0,16,72,78,-3,2,2,2,-4,属性やられ耐性,2,特殊射撃強化,1,冥灯龍の神秘,1,,,,
ゼノラージβ,ゼノラージスパインβ,8,2,1,0,16,72,78,-3,2,2,2,-4,属性やられ耐性,2,冥灯龍の神秘,1,,,,,,
ギルドクロスα,ギルドクロスコイルα,8,1,0,0,15,62,68,0,0,0,0,0,不屈,1,龍耐性,2,ギルドの導き,1,,,,
ギルドクロスβ,ギルドクロスコイルβ,8,1,1,1,15,62,68,0,0,0,0,0,不屈,1,ギルドの導き,1,,,,,,
シーカーα,シーカーベルトα,8,1,0,0,50,70,76,2,2,2,2,2,キノコ大好き,1,運搬の達人,1,調査団の導き,1,,,,
シーカーβ,シーカーベルトβ,8,2,0,0,50,70,76,2,2,2,2,2,キノコ大好き,1,調査団の導き,1,,,,,,
バンギスβ,バンギスコイルβ,7,3,1,0,13,58,70,1,1,-3,2,-3,力の解放,1,,,,,,,,
バンギスα,バンギスコイルα,7,1,0,0,13,58,70,1,1,-3,2,-3,力の解放,1,匠,1,,,,,,
マムガイラα,マムガイラコイルα,8,1,0,0,16,72,78,4,-2,3,-4,-2,属性解放／装填拡張,1,匠,2,,,,,,
マムガイラβ,マムガイラコイルβ,8,3,1,0,16,72,78,4,-2,3,-4,-2,属性解放／装填拡張,1,匠,1,,,,,,
エンプレスα,エンプレスコイルα,8,2,1,0,16,70,76,3,1,1,-3,-2,整備,2,爆破属性強化,1,炎妃龍の恩寵,1,,,,
エンプレスβ,エンプレスコイルβ,8,2,2,0,16,70,76,3,1,1,-3,-2,整備,2,炎妃龍の恩寵,1,,,,,,
ブロッサムα,ブロッサムコートα,5,1,1,0,11,40,62,1,1,4,1,1,導蟲反応距離ＵＰ,1,,,,,,,,
ダイバーα,ダイバーベルトα,5,2,0,0,11,46,68,1,4,1,1,1,水場・深雪適応,1,,,,,,,,
ハーベストα,ハーベストオッハα,6,2,1,0,13,52,72,4,1,1,1,1,体術,1,,,,,,,,
オリオンα,オリオンコートα,6,3,1,0,13,58,78,1,1,1,4,1,体力増強,1,,,,,,,,
フルドレスα,フルドレスコートα,7,3,1,1,14,64,76,1,1,1,1,4,スリンガー装填数ＵＰ,1,アステラの祝福,1,,,,,,
パピオムα,パピオムアンカα,5,1,0,0,11,42,64,-1,-1,2,0,2,防御,2,ランナー,1,,,,,,
パピオムβ,パピオムアンカβ,5,3,0,0,11,42,64,-1,-1,2,0,2,防御,2,,,,,,,,
クインビートα,クインビートアンカα,5,1,0,0,11,42,64,-1,-1,2,0,2,防御,2,ランナー,1,,,,,,
クインビートβ,クインビートアンカβ,5,3,0,0,11,42,64,-1,-1,2,0,2,防御,2,,,,,,,,
ウルズγ,ウルズコイルγ,8,2,1,1,50,72,78,-4,4,1,-1,-3,回復速度,2,龍属性攻撃強化,1,屍套龍の命脈,1,,,,
キリンγ,キリンフープγ,8,1,1,0,50,72,78,-3,-2,4,-2,2,ランナー,2,幻獣の恩寵,1,,,,,,
カイザーγ,カイザーコイルγ,8,1,1,0,50,72,78,3,-3,1,-3,1,力の解放,3,炎王龍の武技,1,,,,,,
クシャナγ,クシャナアンダγ,8,1,1,0,50,72,78,0,2,-3,4,-2,匠,2,鋼龍の飛翔,1,,,,,,
オーグγ,オーグコイルγ,8,3,1,0,50,72,78,1,1,-3,1,-3,渾身,1,挑戦者,1,滅尽龍の飢餓,1,,,,
ゾラマグナγ,ゾラマグナスパインγ,8,3,2,0,50,72,78,4,-3,-1,-2,-3,ボマー,2,見切り,1,熔山龍の奥義,1,,,,
ゼノラージγ,ゼノラージスパインγ,8,3,1,0,50,72,78,-3,2,2,2,-4,超会心,1,冥灯龍の神秘,1,,,,,,
エンプレスγ,エンプレスコイルγ,8,3,0,0,50,70,76,3,1,1,-3,-2,回避性能,2,体力増強,2,炎妃龍の恩寵,1,,,,
マムガイラγ,マムガイラコイルγ,8,3,0,0,16,72,78,4,-2,3,-4,-2,超会心,1,弱点特効,1,,,,,,
蒼星ノ将α,蒼星ノ将【腰当て】α,7,2,0,0,13,56,68,2,2,0,0,3,匠,1,火竜の奥義,1,,,,,,
ダンテα,ダンテベルトα,8,3,0,0,14,64,70,3,-3,3,-3,3,回避性能,1,力の解放,1,,,,,,
ドラケンα,ドラケンコイルα,8,3,0,0,16,72,78,-2,-2,3,-2,4,見切り,2,強化持続,1,竜騎士の証,1,,,,
オリジン,オリジンコイル,1,0,0,0,1,6,42,0,0,0,0,0,,,,,,,,,,
ガーディアンα,ガーディアンコイルα,6,1,0,0,1,50,70,2,0,0,2,3,体力増強,2,精霊の加護,1,,,,,,
アーロイα,アーロイウエストα,5,3,0,0,11,46,68,1,1,1,1,1,潜伏,2,蛮顎竜の闘志,1,,,,,,
アーロイγ,アーロイウエストγ,8,3,1,0,50,64,70,1,1,1,1,1,潜伏,2,弱点特効,1,蛮顎竜の闘志,1,,,,
リュウ,リュウウエスト,2,0,0,0,3,12,44,2,0,5,-3,2,力の解放,1,,,,,,,,
リュウα,リュウウエストα,7,3,0,0,14,60,72,2,0,5,-3,2,挑戦者,1,火竜の奥義,1,,,,,,
さくらα,さくらウエストα,6,3,0,0,13,50,70,0,4,0,4,-2,力の解放,1,桜火竜の奥義,1,,,,,,
ゲラルトα,ゲラルトウエストα,8,2,0,0,16,70,76,2,1,-2,-1,3,ボマー,2,弱点特効,1,ウィッチャーの心得,1,,,,
シリα,シリウエストα,8,2,0,0,50,70,76,-2,-1,2,1,3,属性解放／装填拡張,1,回避距離ＵＰ,1,,,,,,
防衛隊α,防衛隊【帯甲】α,6,1,0,0,1,50,70,2,0,0,2,3,体力増強,2,精霊の加護,1,,,,,,
EXボーンα,EXボーンコイルα,9,3,0,0,M1,114,152,2,0,2,0,2,笛吹き名人,1,破壊王,1,,,,,,
EXボーンβ,EXボーンコイルβ,9,4,1,0,M1,114,152,2,0,2,0,2,笛吹き名人,1,,,,,,,,
EXアロイα,EXアロイコイルα,9,3,0,0,M1,114,152,-2,0,-2,-2,0,毒耐性,2,風圧耐性,1,,,,,,
EXアロイβ,EXアロイコイルβ,9,4,0,0,M1,114,152,-2,0,-2,-2,0,毒耐性,1,風圧耐性,1,,,,,,
EXランゴα,EXランゴコイルα,9,3,0,0,M1,116,154,-2,1,1,1,2,麻痺耐性,2,納刀術,1,,,,,,
EXランゴβ,EXランゴコイルβ,9,4,1,0,M1,116,154,-2,1,1,1,2,麻痺耐性,1,,,,,,,,
EXタロスα,EXタロスコイルα,9,2,0,0,M1,116,154,-1,-1,0,0,2,弱点特効,1,腹減り耐性,1,,,,,,
EXタロスβ,EXタロスコイルβ,9,4,1,0,M1,116,154,-1,-1,0,0,2,弱点特効,1,,,,,,,,
EXジャグラスα,EXジャグラスコイルα,9,2,1,0,M1,116,154,-2,2,-1,-1,1,体力回復量ＵＰ,1,早食い,1,,,,,,
EXジャグラスβ,EXジャグラスコイルβ,9,4,1,0,M1,116,154,-2,2,-1,-1,1,体力回復量ＵＰ,1,,,,,,,,
EXツィツィα,EXツィツィコイルα,9,2,0,0,M1,116,154,0,0,-3,-2,0,広域化,2,水属性攻撃強化,2,,,,,,
EXツィツィβ,EXツィツィコイルβ,9,4,1,0,M1,116,154,0,0,-3,-2,0,広域化,2,,,,,,,,
EXギルオスα,EXギルオスコイルα,9,3,0,0,M1,116,154,0,-3,2,0,1,瘴気環境適応,1,麻痺属性強化,2,,,,,,
EXギルオスβ,EXギルオスコイルβ,9,4,2,0,M1,116,154,0,-3,2,0,1,瘴気環境適応,1,,,,,,,,
EXガマルα,EXガマルコイルα,9,2,1,0,M1,120,158,2,0,-3,0,2,砲術,2,爆破やられ耐性,1,,,,,,
EXガマルβ,EXガマルコイルβ,9,4,1,0,M1,120,158,2,0,-3,0,2,砲術,2,,,,,,,,
EXクルルα,EXクルルコイルα,9,3,0,0,M1,116,154,0,-3,0,1,0,アイテム使用強化,2,見切り,1,,,,,,
EXクルルβ,EXクルルコイルβ,9,4,1,0,M1,116,154,0,-3,0,1,0,アイテム使用強化,2,,,,,,,,
EXプケプケα,EXプケプケコイルα,9,3,0,0,M1,118,156,0,3,-3,0,1,毒属性強化,2,アイテム使用強化,1,,,,,,
EXプケプケβ,EXプケプケコイルβ,9,4,1,0,M1,118,156,0,3,-3,0,1,毒属性強化,1,アイテム使用強化,1,,,,,,
EXプケラグーナα,EXプケラグーナコイルα,9,2,0,0,M4,132,170,0,3,-2,-3,0,水属性攻撃強化,2,破壊王,1,,,,,,
EXプケラグーナβ,EXプケラグーナコイルβ,9,4,0,0,M4,132,170,0,3,-2,-3,0,水属性攻撃強化,1,破壊王,1,,,,,,
EXボロスα,EXボロスコイルα,9,1,0,0,M1,118,156,-3,-1,3,-1,0,挑戦者,2,ガード性能,1,,,,,,
EXボロスβ,EXボロスコイルβ,9,4,0,0,M1,118,156,-3,-1,3,-1,0,挑戦者,2,,,,,,,,
EXジュラα,EXジュラコイルα,9,3,0,0,M1,118,156,-1,2,-3,0,0,氷耐性,2,力の解放,1,,,,,,
EXジュラβ,EXジュラコイルβ,9,4,1,0,M1,118,156,-1,2,-3,0,0,氷耐性,2,,,,,,,,
EXブランα,EXブランコイルα,9,2,0,0,M1,118,156,-3,0,-2,3,2,体力増強,2,耳栓,2,,,,,,
EXブランβ,EXブランコイルβ,9,4,1,0,M1,118,156,-3,0,-2,3,2,体力増強,2,耳栓,1,,,,,,
EXカガチα,EXカガチコイルα,9,3,1,0,M1,120,158,0,-3,3,0,0,雷属性攻撃強化,2,雷耐性,1,,,,,,
EXカガチβ,EXカガチコイルβ,9,4,1,0,M1,120,158,0,-3,3,0,0,雷属性攻撃強化,2,,,,,,,,
EXベニカガチα,EXベニカガチコイルα,9,2,0,0,M3,132,148,1,3,-3,-2,1,体術,1,納刀術,1,,,,,,
EXベニカガチβ,EXベニカガチコイルβ,9,4,1,0,M3,132,148,1,3,-3,-2,1,体術,1,,,,,,,,
EXハイメタα,EXハイメタコイルα,9,2,2,0,M1,128,166,0,-1,-2,3,0,砲弾装填数ＵＰ,1,防御,2,,,,,,
EXハイメタβ,EXハイメタコイルβ,9,4,2,0,M1,128,166,0,-1,-2,3,0,砲弾装填数ＵＰ,1,防御,1,,,,,,
EXバフバロα,EXバフバロコイルα,9,3,0,0,M3,130,168,-2,2,-1,3,-3,キノコ大好き,1,攻めの守勢,1,,,,,,
EXバフバロβ,EXバフバロコイルβ,9,4,1,0,M3,130,168,-2,2,-1,3,-3,キノコ大好き,1,,,,,,,,
EXジャナフα,EXジャナフコイルα,9,3,1,0,M4,132,170,3,-3,-1,-1,0,火耐性,2,砲術,1,蛮顎竜の覇気,1,,,,
EXジャナフβ,EXジャナフコイルβ,9,4,2,0,M4,132,170,3,-3,-1,-1,0,火耐性,2,蛮顎竜の覇気,1,,,,,,
EXジャナールα,EXジャナールコイルα,11,1,0,0,M13,146,170,-1,-1,2,-3,0,弱点特効,2,アイテム使用強化,1,蛮顎竜の覇気,1,,,,
EXジャナールβ,EXジャナールコイルβ,11,4,1,0,M13,146,170,-1,-1,2,-3,0,弱点特効,1,アイテム使用強化,1,蛮顎竜の覇気,1,,,,
EXレイアα,EXレイアコイルα,9,3,2,0,M4,130,168,2,0,-2,0,-3,毒耐性,2,体力増強,1,雌火竜の真髄,1,,,,
EXレイアβ,EXレイアコイルβ,9,4,2,0,M4,130,168,2,0,-2,0,-3,毒耐性,1,体力増強,1,雌火竜の真髄,1,,,,
